epoch accuracy auc loss lr val_accuracy val_auc val_loss
0 0.7335517406463623 0.4892563819885254 0.5907770395278931 1e-05 0.7463352680206299 0.564130425453186 0.5712985396385193
1 0.7406497597694397 0.5596265196800232 0.5700410604476929 1e-05 0.7463352680206299 0.7917834520339966 0.5509735941886902
0 0.7158067226409912 0.5056926608085632 614.2247924804688 0.1 0.7463352680206299 0.5012809634208679 0.5684026479721069
1 0.7403767108917236 0.4981398582458496 0.5742053985595703 0.1 0.7463352680206299 0.5004270076751709 0.5668483376502991
0 0.7403767108917236 0.48262250423431396 0.5737882256507874 0.01 0.7463352680206299 0.4995730221271515 0.5669329762458801
1 0.7403767108917236 0.4829939603805542 0.5730797648429871 0.01 0.7463352680206299 0.4991460144519806 0.5670111775398254
2 0.7403767108917236 0.4899255633354187 0.5731769800186157 0.01 0.7463352680206299 0.4991460144519806 0.5668720006942749
3 0.7403767108917236 0.48338884115219116 0.5732108354568481 0.01 0.7463352680206299 0.50087970495224 0.5663530826568604
4 0.7403767108917236 0.48769402503967285 0.5730971097946167 0.01 0.7463352680206299 0.4995730221271515 0.5663307905197144
5 0.7403767108917236 0.4878487288951874 0.5729851126670837 0.01 0.7463352680206299 0.4995730221271515 0.5663326978683472
6 0.7403767108917236 0.4808042645454407 0.5729410648345947 0.01 0.7463352680206299 0.4987190365791321 0.5663455128669739
7 0.7403767108917236 0.471117228269577 0.5731440186500549 0.01 0.7463352680206299 0.4995730221271515 0.5663329362869263
8 0.7403767108917236 0.5072430372238159 0.5727517008781433 0.01 0.7463352680206299 0.4995730221271515 0.5666729807853699
9 0.7403767108917236 0.4775802493095398 0.573054313659668 0.01 0.7463352680206299 0.4995730221271515 0.5667715668678284
10 0.7403767108917236 0.4801334738731384 0.5728948712348938 0.01 0.7463352680206299 0.4995730221271515 0.5666053295135498
11 0.7403767108917236 0.4864937961101532 0.5728655457496643 0.01 0.7463352680206299 0.4995730221271515 0.5665255188941956
12 0.7403767108917236 0.4655456840991974 0.5735986828804016 0.01 0.7463352680206299 0.49829205870628357 0.566744863986969
13 0.7403767108917236 0.48554617166519165 0.5729750394821167 0.01 0.7463352680206299 0.4995730221271515 0.566558837890625
14 0.7403767108917236 0.49042925238609314 0.5729093551635742 0.01 0.7463352680206299 0.4995730221271515 0.5668272972106934
0 0.7403767108917236 0.490825355052948 0.5731013417243958 0.01 0.7463352680206299 0.4995730221271515 0.5665135979652405
1 0.7403767108917236 0.4945816397666931 0.5728808045387268 0.01 0.7463352680206299 0.4995730221271515 0.5663332939147949
2 0.7403767108917236 0.5064998865127563 0.5727081298828125 0.01 0.7463352680206299 0.4995730221271515 0.566772997379303
3 0.7403767108917236 0.49331361055374146 0.5728840827941895 0.01 0.7463352680206299 0.4995730221271515 0.5663705468177795
4 0.7403767108917236 0.4874931573867798 0.5729941725730896 0.01 0.7463352680206299 0.49829205870628357 0.5664808750152588
5 0.7403767108917236 0.4976147413253784 0.5729203820228577 0.01 0.7463352680206299 0.4995730221271515 0.5663357377052307
6 0.7403767108917236 0.49163004755973816 0.5730995535850525 0.01 0.7463352680206299 0.4987190365791321 0.566460907459259
7 0.7403767108917236 0.4827221632003784 0.573073148727417 0.01 0.7463352680206299 0.49829205870628357 0.5667350888252258
8 0.7403767108917236 0.47836214303970337 0.5731507539749146 0.01 0.7463352680206299 0.4995730221271515 0.5666021704673767
9 0.7403767108917236 0.4960777163505554 0.5729578733444214 0.01 0.7463352680206299 0.4995730221271515 0.5666516423225403
10 0.7403767108917236 0.49390101432800293 0.5728100538253784 0.01 0.7463352680206299 0.4995730221271515 0.5663652420043945
11 0.7403767108917236 0.48810407519340515 0.5729226469993591 0.01 0.7463352680206299 0.4995730221271515 0.5665441751480103
