epoch accuracy loss val_accuracy val_loss
0 0.7411957383155823 0.5157533884048462 0.7533460855484009 0.4276624917984009
0 0.8476658463478088 0.3638245463371277 0.9050350785255432 0.2991916835308075
0 0.9292929172515869 0.20038846135139465 0.9324410557746887 0.1884651631116867
1 0.9443079233169556 0.1624806672334671 0.9407265782356262 0.1611972153186798
2 0.9508599638938904 0.14080385863780975 0.9502868056297302 0.14040221273899078
3 0.9579579830169678 0.12142794579267502 0.954748272895813 0.12712131440639496
4 0.9617799520492554 0.10901366919279099 0.9623964428901672 0.11532284319400787
5 0.969150960445404 0.09594874829053879 0.959209680557251 0.11155631393194199
6 0.9710619449615479 0.086647167801857 0.966220498085022 0.09821789711713791
7 0.9737919569015503 0.08102449774742126 0.966220498085022 0.09199240803718567
8 0.9737919569015503 0.076459601521492 0.9668578505516052 0.08836252987384796
9 0.9751569628715515 0.07379843294620514 0.9623964428901672 0.10256702452898026
0 0.9773409962654114 0.06581500917673111 0.971319317817688 0.07909988611936569
1 0.9776139855384827 0.06278606504201889 0.9719566702842712 0.07701422274112701
2 0.9803439974784851 0.058056458830833435 0.9700446128845215 0.07856807857751846
3 0.9797979593276978 0.056322865188121796 0.9706819653511047 0.07664724439382553
4 0.9800710082054138 0.055698882788419724 0.9725940227508545 0.07404287159442902
5 0.9800710082054138 0.05647201091051102 0.9681325554847717 0.08712917566299438
6 0.9822549819946289 0.051970336586236954 0.9719566702842712 0.0745670273900032
7 0.9830740094184875 0.0494324155151844 0.9745060801506042 0.07181482762098312
8 0.9828009605407715 0.04991360008716583 0.9764180779457092 0.06830085068941116
9 0.9822549819946289 0.04932307079434395 0.971319317817688 0.07512552291154861
10 0.9836199879646301 0.045055560767650604 0.9776927828788757 0.06761254370212555
11 0.984438955783844 0.04495106264948845 0.9776927828788757 0.06689687818288803
12 0.9847120046615601 0.043160293251276016 0.978330135345459 0.06758056581020355
13 0.9858039617538452 0.041715286672115326 0.9751434326171875 0.07816014438867569
14 0.9852579832077026 0.043005771934986115 0.9789674878120422 0.06613818556070328
15 0.9858039617538452 0.04128900170326233 0.9776927828788757 0.06568646430969238
16 0.9871689677238464 0.03895881772041321 0.9700446128845215 0.08243956416845322
17 0.9828009605407715 0.0406513474881649 0.9751434326171875 0.07020831108093262
18 0.9858039617538452 0.03979658707976341 0.980879545211792 0.0651293694972992
19 0.9885339736938477 0.035453230142593384 0.9732313752174377 0.07091134041547775
20 0.9879879951477051 0.036567915230989456 0.9751434326171875 0.0690818652510643
21 0.9898989796638489 0.03489599749445915 0.980879545211792 0.065763458609581
22 0.9879879951477051 0.03422047197818756 0.978330135345459 0.06974801421165466
23 0.989080011844635 0.03317964822053909 0.9796048402786255 0.06473137438297272
24 0.989080011844635 0.03331993520259857 0.9827916026115417 0.06414122134447098
